symbol,start_date,filing_period,eps_basic,eps_diluted,eps_basic9,eps_diluted9
AMZN,2019-04-01,2019-06-30,5.32,5.22,,
AMZN,2017-07-02,2017-09-30,0.53,0.52,2.46,2.39
AMZN,2017-12-31,2018-03-31,3.36,3.27,,
AMZN,2022-04-01,2022-06-30,-0.20,-0.20,,
AMZN,2023-04-01,2023-06-30,0.66,0.65,,
AMZN,2013-07-02,2013-09-30,-0.09,-0.09,,
AMZN,2020-04-01,2020-06-30,10.50,10.30,2.27,2.24
AMZN,2020-01-01,2020-03-31,5.09,5.01,,
AMZN,2018-04-01,2018-06-30,5.21,5.07,,
AMZN,2015-07-02,2015-09-30,0.17,0.17,,
AMZN,2022-12-31,2023-03-31,0.31,0.31,,
AMZN,2024-04-01,2024-06-30,1.29,1.26,,
AMZN,2014-12-31,2015-03-31,-0.12,-0.12,,
AMZN,2017-04-01,2017-06-30,0.41,0.40,,
AMZN,2022-07-02,2022-09-30,0.28,0.28,0.21,0.21
AMZN,2018-12-31,2019-03-31,7.24,7.09,,
AMZN,2014-04-01,2014-06-30,-0.27,-0.27,,
AMZN,2013-12-31,2014-03-31,0.23,0.23,0.18,0.18
AMZN,2015-04-01,2015-06-30,0.20,0.19,,
AMZN,2021-12-31,2022-03-31,-7.56,-7.56,,
AMZN,2023-07-02,2023-09-30,0.96,0.94,1.93,1.89 
AMZN,2019-07-02,2019-09-30,4.31,4.23,16.87,16.53
AMZN,2018-07-02,2018-09-30,5.91,5.75,14.49,14.10
AMZN,2016-04-01,2016-06-30,1.81,1.78,,
AMZN,2021-04-01,2021-06-30,15.40,15.12,,
AMZN,2016-01-01,2016-03-31,1.09,1.07,,
AMZN,2020-12-31,2021-03-31,16.09,15.79,,
AMZN,2021-07-02,2021-09-30,6.23,6.12,37.69,37.02
AMZN,2020-07-02,2020-09-30,12.63,12.37,28.24,27.72
AMZN,2016-12-31,2017-03-31,1.52,1.48,,
AMZN,2024-01-01,2024-03-31,1.00,0.98,,
AMZN,2012-12-31,2013-03-31,0.18,0.18,,
AMZN,2014-07-02,2014-09-30,-0.95,-0.95,-0.99,-0.99
AMZN,2013-04-01,2013-06-30,-0.02,-0.02,,
AMZN,2016-07-02,2016-09-30,0.53,0.52,3.43,3.36
AMZN,2024-07-02,2024-09-30,1.46,1.43,3.76,3.67
AAPL,2022-10-02,2022-12-31,1.89,1.88,2.11,2.10
AAPL,2016-10-02,2016-12-31,3.38,3.36,,
AAPL,2023-01-01,2023-04-01,1.53,1.52,3.42,3.41
AAPL,2021-12-26,2022-03-26,1.54,1.52,3.65,3.62
AAPL,2012-12-30,2013-03-30,10.16,10.09,,
AAPL,2014-12-28,2015-03-28,2.34,2.33,5.43,5.39
AAPL,2021-03-28,2021-06-26,1.31,1.30,4.42,4.38
AAPL,2017-04-02,2017-07-01,1.68,1.67,7.18,7.14
AAPL,2024-03-31,2024-06-29,1.40,1.40,5.13,5.11
AAPL,2015-03-29,2015-06-27,1.86,1.85,7.30,7.25
AAPL,2018-04-01,2018-06-30,2.36,2.34,9.07,8.99
AAPL,2023-12-31,2024-03-30,1.53,1.53,3.72,3.71
AAPL,2019-09-29,2019-12-28,5.04,4.99,,
AAPL,2016-03-27,2016-06-25,1.43,1.42,6.66,6.62
AAPL,2019-03-31,2019-06-29,2.20,2.18,8.92,8.86
AAPL,2014-03-30,2014-06-28,1.29,1.28,5.06,5.03
AAPL,2023-04-02,2023-07-01,1.27,1.26,4.69,4.67
AAPL,2012-09-30,2012-12-29,13.93,13.81,,
AAPL,2013-12-29,2014-03-29,11.69,11.62,26.31,26.16
AAPL,2018-10-01,2018-12-30,3.92,3.89,,
AAPL,2021-09-26,2021-12-25,2.11,2.10,1.70,1.68
AAPL,2018-12-30,2019-03-30,2.47,2.46,6.70,6.66
AAPL,2019-12-29,2020-03-28,2.58,2.55,7.63,7.56
AAPL,2020-03-29,2020-06-27,2.61,2.58,10.25,10.16
AAPL,2020-12-27,2021-03-27,1.41,1.40,3.11,3.08
AAPL,2015-12-27,2016-03-26,1.91,1.90,5.22,5.19
AAPL,2023-10-01,2023-12-30,2.19,2.18,1.89,1.88
AAPL,2014-09-28,2014-12-27,3.08,3.06,,
AAPL,2015-09-27,2015-12-26,3.30,3.28,,
AAPL,2013-09-29,2013-12-28,14.59,14.50,,
AAPL,2020-09-27,2020-12-26,1.70,1.68,1.26,1.25
AAPL,2017-12-31,2018-03-31,2.75,2.73,6.69,6.63
AAPL,2022-03-27,2022-06-25,1.20,1.20,4.86,4.82
AAPL,2013-03-31,2013-06-29,7.51,7.47,31.67,31.44
AAPL,2018-11-01,2019-01-30,4.22,4.18,,
AAPL,2017-01-01,2017-04-01,2.11,2.10,5.50,5.46
WMT,2016-01-31,2016-04-30,0.98,0.98,1.03,1.03
WMT,2020-05-02,2020-07-31,2.29,2.27,,
WMT,2013-05-02,2013-07-31,1.24,1.24,2.39,2.38
WMT,2023-08-02,2023-10-31,0.17,0.17,3.72,3.71
WMT,2020-01-31,2020-04-30,1.41,1.40,1.34,1.33
WMT,2015-01-30,2015-04-30,1.03,1.03,1.10,1.10
WMT,2024-08-02,2024-10-31,0.57,0.57,1.76,1.75
WMT,2014-08-02,2014-10-31,1.15,1.15,3.47,3.46
WMT,2022-01-30,2022-04-30,0.75,0.74,0.75,0.74
WMT,2022-05-02,2022-07-31,1.88,1.88,,
WMT,2019-01-30,2019-04-30,1.34,1.33,1.34,1.33
WMT,2024-05-02,2024-07-31,0.56,0.56,,
WMT,2018-05-02,2018-07-31,-0.29,-0.29,,
WMT,2014-05-02,2014-07-31,1.27,1.26,2.38,2.37
WMT,2016-08-02,2016-10-31,0.98,0.98,3.17,3.16
WMT,2019-05-02,2019-07-31,1.27,1.26,,2.59
WMT,2023-01-30,2023-04-30,0.62,0.62,,
WMT,2015-05-02,2015-07-31,1.08,1.08,2.11,2.11
WMT,2023-05-02,2023-07-31,2.93,2.92,,3.54
WMT,2015-08-02,2015-10-31,1.03,1.03,3.14,3.13
WMT,2014-01-30,2014-04-30,1.11,1.11,1.10,1.10
WMT,2017-01-30,2017-04-30,1.00,1.00,0.98,0.98
WMT,2020-08-02,2020-10-31,1.81,1.80,5.51,5.48
WMT,2021-01-30,2021-04-30,0.97,0.97,1.41,1.40
WMT,2017-08-02,2017-10-31,0.59,0.58,2.56,2.54
WMT,2013-08-02,2013-10-31,1.15,1.14,3.53,3.51
WMT,2021-08-02,2021-10-31,1.11,1.11,3.61,3.59
WMT,2019-08-02,2019-10-31,1.16,1.15,3.76,3.74
WMT,2022-08-02,2022-10-31,-0.66,-0.66,1.98,1.97
WMT,2016-05-02,2016-07-31,1.21,1.21,2.19,2.18
WMT,2024-01-31,2024-04-30,0.63,0.63,0.21,0.21
